parameter w(u,v,a)/ 
645.617.10 1,
645.617.11 1,
645.617.12 1,
645.617.13 1,
645.617.14 1,
645.617.15 1,
645.617.16 1,
645.617.17 1,
645.617.18 1,
645.617.19 1,
645.617.20 1,
645.617.21 1,
645.617.22 1,
645.617.23 1,
645.617.24 1,
645.617.25 1,
645.617.26 1,
645.617.27 1,
645.617.28 1,
645.617.29 1,
645.617.30 1,
645.618.1 1,
645.618.2 1,
645.618.3 1,
645.618.4 1,
645.618.5 1,
645.618.6 1,
645.618.7 1,
645.618.8 1,
645.618.9 1,
645.618.10 1,
645.618.11 1,
645.618.12 1,
645.618.13 1,
645.618.14 1,
645.618.15 1,
645.618.16 1,
645.618.17 1,
645.618.18 1,
645.618.19 1,
645.618.20 1,
645.618.21 1,
645.618.22 1,
645.618.23 1,
645.618.24 1,
645.618.25 1,
645.618.26 1,
645.618.27 1,
645.618.28 1,
645.618.29 1,
645.618.30 1,
646.641.1 1,
646.641.2 1,
646.641.3 1,
646.641.4 1,
646.641.5 1,
646.641.6 1,
646.641.7 1,
646.641.8 1,
646.641.9 1,
646.641.10 1,
646.641.11 1,
646.641.12 1,
646.641.13 1,
646.641.14 1,
646.641.15 1,
646.641.16 1,
646.641.17 1,
646.641.18 1,
646.641.19 1,
646.641.20 1,
646.641.21 1,
646.641.22 1,
646.641.23 1,
646.641.24 1,
646.641.25 1,
646.641.26 1,
646.641.27 1,
646.641.28 1,
646.641.29 1,
646.641.30 1,
647.620.1 1,
647.620.2 1,
647.620.3 1,
647.620.4 1,
647.620.5 1,
647.620.6 1,
647.620.7 1,
647.620.8 1,
647.620.9 1,
647.620.10 1,
647.620.11 1,
647.620.12 1,
647.620.13 1,
647.620.14 1,
647.620.15 1,
647.620.16 1,
647.620.17 1,
647.620.18 1,
647.620.19 1,
647.620.20 1,
647.620.21 1,
647.620.22 1,
647.620.23 1,
647.620.24 1,
647.620.25 1,
647.620.26 1,
647.620.27 1,
647.620.28 1,
647.620.29 1,
647.620.30 1,
647.651.1 1,
647.651.2 1,
647.651.3 1,
647.651.4 1,
647.651.5 1,
647.651.6 1,
647.651.7 1,
647.651.8 1,
647.651.9 1,
647.651.10 1,
647.651.11 1,
647.651.12 1,
647.651.13 1,
647.651.14 1,
647.651.15 1,
647.651.16 1,
647.651.17 1,
647.651.18 1,
647.651.19 1,
647.651.20 1,
647.651.21 1,
647.651.22 1,
647.651.23 1,
647.651.24 1,
647.651.25 1,
647.651.26 1,
647.651.27 1,
647.651.28 1,
647.651.29 1,
647.651.30 1,
647.652.1 1,
647.652.2 1,
647.652.3 1,
647.652.4 1,
647.652.5 1,
647.652.6 1,
647.652.7 1,
647.652.8 1,
647.652.9 1,
647.652.10 1,
647.652.11 1,
647.652.12 1,
647.652.13 1,
647.652.14 1,
647.652.15 1,
647.652.16 1,
647.652.17 1,
647.652.18 1,
647.652.19 1,
647.652.20 1,
647.652.21 1,
647.652.22 1,
647.652.23 1,
647.652.24 1,
647.652.25 1,
647.652.26 1,
647.652.27 1,
647.652.28 1,
647.652.29 1,
647.652.30 1,
647.686.1 1,
647.686.2 1,
647.686.3 1,
647.686.4 1,
647.686.5 1,
647.686.6 1,
647.686.7 1,
647.686.8 1,
647.686.9 1,
647.686.10 1,
647.686.11 1,
647.686.12 1,
647.686.13 1,
647.686.14 1,
647.686.15 1,
647.686.16 1,
647.686.17 1,
647.686.18 1,
647.686.19 1,
647.686.20 1,
647.686.21 1,
647.686.22 1,
647.686.23 1,
647.686.24 1,
647.686.25 1,
647.686.26 1,
647.686.27 1,
647.686.28 1,
647.686.29 1,
647.686.30 1,
648.615.1 1,
648.615.2 1,
648.615.3 1,
648.615.4 1,
648.615.5 1,
648.615.6 1,
648.615.7 1,
648.615.8 1,
648.615.9 1,
648.615.10 1,
648.615.11 1,
648.615.12 1,
648.615.13 1,
648.615.14 1,
648.615.15 1,
648.615.16 1,
648.615.17 1,
648.615.18 1,
648.615.19 1,
648.615.20 1,
648.615.21 1,
648.615.22 1,
648.615.23 1,
648.615.24 1,
648.615.25 1,
648.615.26 1,
648.615.27 1,
648.615.28 1,
648.615.29 1,
648.615.30 1,
648.686.1 1,
648.686.2 1,
648.686.3 1,
648.686.4 1,
648.686.5 1,
648.686.6 1,
648.686.7 1,
648.686.8 1,
648.686.9 1,
648.686.10 1,
648.686.11 1,
648.686.12 1,
648.686.13 1,
648.686.14 1,
648.686.15 1,
648.686.16 1,
648.686.17 1,
648.686.18 1,
648.686.19 1,
648.686.20 1,
648.686.21 1,
648.686.22 1,
648.686.23 1,
648.686.24 1,
648.686.25 1,
648.686.26 1,
648.686.27 1,
648.686.28 1,
648.686.29 1,
648.686.30 1,
648.688.1 1,
648.688.2 1,
648.688.3 1,
648.688.4 1,
648.688.5 1,
648.688.6 1,
648.688.7 1,
648.688.8 1,
648.688.9 1,
648.688.10 1,
648.688.11 1,
648.688.12 1,
648.688.13 1,
648.688.14 1,
648.688.15 1,
648.688.16 1,
648.688.17 1,
648.688.18 1,
648.688.19 1,
648.688.20 1,
648.688.21 1,
648.688.22 1,
648.688.23 1,
648.688.24 1,
648.688.25 1,
648.688.26 1,
648.688.27 1,
648.688.28 1,
648.688.29 1,
648.688.30 1,
648.714.1 1,
648.714.2 1,
648.714.3 1,
648.714.4 1,
648.714.5 1,
648.714.6 1,
648.714.7 1,
648.714.8 1,
648.714.9 1,
648.714.10 1,
648.714.11 1,
648.714.12 1,
648.714.13 1,
648.714.14 1,
648.714.15 1,
648.714.16 1,
648.714.17 1,
648.714.18 1,
648.714.19 1,
648.714.20 1,
648.714.21 1,
648.714.22 1,
648.714.23 1,
648.714.24 1,
648.714.25 1,
648.714.26 1,
648.714.27 1,
648.714.28 1,
648.714.29 1,
648.714.30 1,
649.663.1 1,
649.663.2 1,
649.663.3 1,
649.663.4 1,
649.663.5 1,
649.663.6 1,
649.663.7 1,
649.663.8 1,
649.663.9 1,
649.663.10 1,
649.663.11 1,
649.663.12 1,
649.663.13 1,
649.663.14 1,
649.663.15 1,
649.663.16 1,
649.663.17 1,
649.663.18 1,
649.663.19 1,
649.663.20 1,
649.663.21 1,
649.663.22 1,
649.663.23 1,
649.663.24 1,
649.663.25 1,
649.663.26 1,
649.663.27 1,
649.663.28 1,
649.663.29 1,
649.663.30 1,
649.687.1 1,
649.687.2 1,
649.687.3 1,
649.687.4 1,
649.687.5 1,
649.687.6 1,
649.687.7 1,
649.687.8 1,
649.687.9 1,
649.687.10 1,
649.687.11 1,
649.687.12 1,
649.687.13 1,
649.687.14 1,
649.687.15 1,
649.687.16 1,
649.687.17 1,
649.687.18 1,
649.687.19 1,
649.687.20 1,
649.687.21 1,
649.687.22 1,
649.687.23 1,
649.687.24 1,
649.687.25 1,
649.687.26 1,
649.687.27 1,
649.687.28 1,
649.687.29 1,
649.687.30 1,
650.621.1 1,
650.621.2 1,
650.621.3 1,
650.621.4 1,
650.621.5 1,
650.621.6 1,
650.621.7 1,
650.621.8 1,
650.621.9 1,
650.621.10 1,
650.621.11 1,
650.621.12 1,
650.621.13 1,
650.621.14 1,
650.621.15 1,
650.621.16 1,
650.621.17 1,
650.621.18 1,
650.621.19 1,
650.621.20 1,
650.621.21 1,
650.621.22 1,
650.621.23 1,
650.621.24 1,
650.621.25 1,
650.621.26 1,
650.621.27 1,
650.621.28 1,
650.621.29 1,
650.621.30 1,
650.664.1 1,
650.664.2 1,
650.664.3 1,
650.664.4 1,
650.664.5 1,
650.664.6 1,
650.664.7 1,
650.664.8 1,
650.664.9 1,
650.664.10 1,
650.664.11 1,
650.664.12 1,
650.664.13 1,
650.664.14 1,
650.664.15 1,
650.664.16 1,
650.664.17 1,
650.664.18 1,
650.664.19 1,
650.664.20 1,
650.664.21 1,
650.664.22 1,
650.664.23 1,
650.664.24 1,
650.664.25 1,
650.664.26 1,
650.664.27 1,
650.664.28 1,
650.664.29 1,
650.664.30 1,
651.647.1 1,
651.647.2 1,
651.647.3 1,
651.647.4 1,
651.647.5 1,
651.647.6 1,
651.647.7 1,
651.647.8 1,
651.647.9 1,
651.647.10 1,
651.647.11 1,
651.647.12 1,
651.647.13 1,
651.647.14 1,
651.647.15 1,
651.647.16 1,
651.647.17 1,
651.647.18 1,
651.647.19 1,
651.647.20 1,
651.647.21 1,
651.647.22 1,
651.647.23 1,
651.647.24 1,
651.647.25 1,
651.647.26 1,
651.647.27 1,
651.647.28 1,
651.647.29 1,
651.647.30 1,
652.647.1 1,
652.647.2 1,
652.647.3 1,
652.647.4 1,
652.647.5 1,
652.647.6 1,
652.647.7 1,
652.647.8 1,
652.647.9 1,
652.647.10 1,
652.647.11 1,
652.647.12 1,
652.647.13 1,
652.647.14 1,
652.647.15 1,
652.647.16 1,
652.647.17 1,
652.647.18 1,
652.647.19 1,
652.647.20 1,
652.647.21 1,
652.647.22 1,
652.647.23 1,
652.647.24 1,
652.647.25 1,
652.647.26 1,
652.647.27 1,
652.647.28 1,
652.647.29 1,
652.647.30 1,
653.633.1 1,
653.633.2 1,
653.633.3 1,
653.633.4 1,
653.633.5 1,
653.633.6 1,
653.633.7 1,
653.633.8 1,
653.633.9 1,
653.633.10 1,
653.633.11 1,
653.633.12 1,
653.633.13 1,
653.633.14 1,
653.633.15 1,
653.633.16 1,
653.633.17 1,
653.633.18 1,
653.633.19 1,
653.633.20 1,
653.633.21 1,
653.633.22 1,
653.633.23 1,
653.633.24 1,
653.633.25 1,
653.633.26 1,
653.633.27 1,
653.633.28 1,
653.633.29 1,
653.633.30 1,
653.683.1 1,
653.683.2 1,
653.683.3 1,
653.683.4 1,
653.683.5 1,
653.683.6 1,
653.683.7 1,
653.683.8 1,
653.683.9 1,
653.683.10 1,
653.683.11 1,
653.683.12 1,
653.683.13 1,
653.683.14 1,
653.683.15 1,
653.683.16 1,
653.683.17 1,
653.683.18 1,
653.683.19 1,
653.683.20 1,
653.683.21 1,
653.683.22 1,
653.683.23 1,
653.683.24 1,
653.683.25 1,
653.683.26 1,
653.683.27 1,
653.683.28 1,
653.683.29 1,
653.683.30 1,
653.707.1 1,
653.707.2 1,
653.707.3 1,
653.707.4 1,
653.707.5 1,
653.707.6 1,
653.707.7 1,
653.707.8 1,
653.707.9 1,
653.707.10 1,
653.707.11 1,
653.707.12 1,
653.707.13 1,
653.707.14 1,
653.707.15 1,
653.707.16 1,
653.707.17 1,
653.707.18 1,
653.707.19 1,
653.707.20 1,
653.707.21 1,
653.707.22 1,
653.707.23 1,
653.707.24 1,
653.707.25 1,
653.707.26 1,
653.707.27 1,
653.707.28 1,
653.707.29 1,
653.707.30 1,
654.640.1 1,
654.640.2 1,
654.640.3 1,
654.640.4 1,
654.640.5 1,
654.640.6 1,
654.640.7 1,
654.640.8 1,
654.640.9 1,
654.640.10 1,
654.640.11 1,
654.640.12 1,
654.640.13 1,
654.640.14 1,
654.640.15 1,
654.640.16 1,
654.640.17 1,
654.640.18 1,
654.640.19 1,
654.640.20 1,
654.640.21 1,
654.640.22 1,
654.640.23 1,
654.640.24 1,
654.640.25 1,
654.640.26 1,
654.640.27 1,
654.640.28 1,
654.640.29 1,
654.640.30 1,
654.704.1 1,
654.704.2 1,
654.704.3 1,
654.704.4 1,
654.704.5 1,
654.704.6 1,
654.704.7 1,
654.704.8 1,
654.704.9 1,
654.704.10 1,
654.704.11 1,
654.704.12 1,
654.704.13 1,
654.704.14 1,
654.704.15 1,
654.704.16 1,
654.704.17 1,
654.704.18 1,
654.704.19 1,
654.704.20 1,
654.704.21 1,
654.704.22 1,
654.704.23 1,
654.704.24 1,
654.704.25 1,
654.704.26 1,
654.704.27 1,
654.704.28 1,
654.704.29 1,
654.704.30 1,
655.628.1 1,
655.628.2 1,
655.628.3 1,
655.628.4 1,
655.628.5 1,
655.628.6 1,
655.628.7 1,
655.628.8 1,
655.628.9 1,
655.628.10 1,
655.628.11 1,
655.628.12 1,
655.628.13 1,
655.628.14 1,
655.628.15 1,
655.628.16 1,
655.628.17 1,
655.628.18 1,
655.628.19 1,
655.628.20 1,
655.628.21 1,
655.628.22 1,
655.628.23 1,
655.628.24 1,
655.628.25 1,
655.628.26 1,
655.628.27 1,
655.628.28 1,
655.628.29 1,
655.628.30 1,
655.630.1 1,
655.630.2 1,
655.630.3 1,
655.630.4 1,
655.630.5 1,
655.630.6 1,
655.630.7 1,
655.630.8 1,
655.630.9 1,
655.630.10 1,
655.630.11 1,
655.630.12 1,
655.630.13 1,
655.630.14 1,
655.630.15 1,
655.630.16 1,
655.630.17 1,
655.630.18 1,
655.630.19 1,
655.630.20 1,
655.630.21 1,
655.630.22 1,
655.630.23 1,
655.630.24 1,
655.630.25 1,
655.630.26 1,
655.630.27 1,
655.630.28 1,
655.630.29 1,
655.630.30 1,
656.630.1 1,
656.630.2 1,
656.630.3 1,
656.630.4 1,
656.630.5 1,
656.630.6 1,
656.630.7 1,
656.630.8 1,
656.630.9 1,
656.630.10 1,
656.630.11 1,
656.630.12 1,
656.630.13 1,
656.630.14 1,
656.630.15 1,
656.630.16 1,
656.630.17 1,
656.630.18 1,
656.630.19 1,
656.630.20 1,
656.630.21 1,
656.630.22 1,
656.630.23 1,
656.630.24 1,
656.630.25 1,
656.630.26 1,
656.630.27 1,
656.630.28 1,
656.630.29 1,
656.630.30 1,
657.632.1 1,
657.632.2 1,
657.632.3 1,
657.632.4 1,
657.632.5 1,
657.632.6 1,
657.632.7 1,
657.632.8 1,
657.632.9 1,
657.632.10 1,
657.632.11 1,
657.632.12 1,
657.632.13 1,
657.632.14 1,
657.632.15 1,
657.632.16 1,
657.632.17 1,
657.632.18 1,
657.632.19 1,
657.632.20 1,
657.632.21 1,
657.632.22 1,
657.632.23 1,
657.632.24 1,
657.632.25 1,
657.632.26 1,
657.632.27 1,
657.632.28 1,
657.632.29 1,
657.632.30 1,
657.302.1 1,
657.302.2 1,
657.302.3 1,
657.302.4 1,
657.302.5 1,
657.302.6 1,
657.302.7 1,
657.302.8 1,
657.302.9 1,
657.302.10 1,
657.302.11 1,
657.302.12 1,
657.302.13 1,
657.302.14 1,
657.302.15 1,
657.302.16 1,
657.302.17 1,
657.302.18 1,
657.302.19 1,
657.302.20 1,
657.302.21 1,
657.302.22 1,
657.302.23 1,
657.302.24 1,
657.302.25 1,
657.302.26 1,
657.302.27 1,
657.302.28 1,
657.302.29 1,
657.302.30 1,
658.659.1 1,
658.659.2 1,
658.659.3 1,
658.659.4 1,
658.659.5 1,
658.659.6 1,
658.659.7 1,
658.659.8 1,
658.659.9 1,
658.659.10 1,
658.659.11 1,
658.659.12 1,
658.659.13 1,
658.659.14 1,
658.659.15 1,
658.659.16 1,
658.659.17 1,
658.659.18 1,
658.659.19 1,
658.659.20 1,
658.659.21 1,
658.659.22 1,
658.659.23 1,
658.659.24 1,
658.659.25 1,
658.659.26 1,
658.659.27 1,
658.659.28 1,
658.659.29 1,
658.659.30 1,
658.673.1 1,
658.673.2 1,
658.673.3 1,
658.673.4 1,
658.673.5 1,
658.673.6 1,
658.673.7 1,
658.673.8 1,
658.673.9 1,
658.673.10 1,
658.673.11 1,
658.673.12 1,
658.673.13 1,
658.673.14 1,
658.673.15 1,
658.673.16 1,
658.673.17 1,
658.673.18 1,
658.673.19 1,
658.673.20 1,
658.673.21 1,
658.673.22 1,
658.673.23 1,
658.673.24 1,
658.673.25 1,
658.673.26 1,
658.673.27 1,
658.673.28 1,
658.673.29 1,
658.673.30 1,
659.634.1 1,
659.634.2 1,
659.634.3 1,
659.634.4 1,
659.634.5 1,
659.634.6 1,
659.634.7 1,
659.634.8 1,
659.634.9 1,
659.634.10 1,
659.634.11 1,
659.634.12 1,
659.634.13 1,
659.634.14 1,
659.634.15 1,
659.634.16 1,
659.634.17 1,
659.634.18 1,
659.634.19 1,
659.634.20 1,
659.634.21 1,
659.634.22 1,
659.634.23 1,
659.634.24 1,
659.634.25 1,
659.634.26 1,
659.634.27 1,
659.634.28 1,
659.634.29 1,
659.634.30 1,
659.658.1 1,
659.658.2 1,
659.658.3 1,
659.658.4 1,
659.658.5 1,
659.658.6 1,
659.658.7 1,
659.658.8 1,
659.658.9 1,
659.658.10 1,
659.658.11 1,
659.658.12 1,
659.658.13 1,
659.658.14 1,
659.658.15 1,
659.658.16 1,
659.658.17 1,
659.658.18 1,
659.658.19 1,
659.658.20 1,
659.658.21 1,
659.658.22 1,
659.658.23 1,
659.658.24 1,
659.658.25 1,
659.658.26 1,
659.658.27 1,
659.658.28 1,
659.658.29 1,
659.658.30 1,
659.303.1 1,
659.303.2 1,
659.303.3 1,
659.303.4 1,
659.303.5 1,
659.303.6 1,
659.303.7 1,
659.303.8 1,
659.303.9 1,
659.303.10 1,
659.303.11 1,
659.303.12 1,
659.303.13 1,
659.303.14 1,
659.303.15 1,
659.303.16 1,
659.303.17 1,
659.303.18 1,
659.303.19 1,
659.303.20 1,
659.303.21 1,
659.303.22 1,
659.303.23 1,
659.303.24 1,
659.303.25 1,
659.303.26 1,
659.303.27 1,
659.303.28 1,
659.303.29 1,
659.303.30 1,
660.675.1 1,
660.675.2 1,
660.675.3 1,
660.675.4 1,
660.675.5 1,
660.675.6 1,
660.675.7 1,
660.675.8 1,
660.675.9 1,
660.675.10 1,
660.675.11 1,
660.675.12 1,
660.675.13 1,
660.675.14 1,
660.675.15 1,
660.675.16 1,
660.675.17 1,
660.675.18 1,
660.675.19 1,
660.675.20 1,
660.675.21 1,
660.675.22 1,
660.675.23 1,
660.675.24 1,
660.675.25 1,
660.675.26 1,
660.675.27 1,
660.675.28 1,
660.675.29 1,
660.675.30 1,
660.713.1 1,
660.713.2 1,
660.713.3 1,
660.713.4 1,
660.713.5 1,
660.713.6 1,
660.713.7 1,
660.713.8 1,
660.713.9 1,
660.713.10 1,
660.713.11 1,
660.713.12 1,
660.713.13 1,
660.713.14 1,
660.713.15 1,
660.713.16 1,
660.713.17 1,
660.713.18 1,
660.713.19 1,
660.713.20 1,
660.713.21 1,
660.713.22 1,
660.713.23 1,
660.713.24 1,
660.713.25 1,
660.713.26 1,
660.713.27 1,
660.713.28 1,
660.713.29 1,
660.713.30 1,
661.674.1 1,
661.674.2 1,
661.674.3 1,
661.674.4 1,
661.674.5 1,
661.674.6 1,
661.674.7 1,
661.674.8 1,
661.674.9 1,
661.674.10 1,
661.674.11 1,
661.674.12 1,
661.674.13 1,
661.674.14 1,
661.674.15 1,
661.674.16 1,
661.674.17 1,
661.674.18 1,
661.674.19 1,
661.674.20 1,
661.674.21 1,
661.674.22 1,
661.674.23 1,
661.674.24 1,
661.674.25 1,
661.674.26 1,
661.674.27 1,
661.674.28 1,
661.674.29 1,
661.674.30 1,
661.691.1 1,
661.691.2 1,
661.691.3 1,
661.691.4 1,
661.691.5 1,
661.691.6 1,
661.691.7 1,
661.691.8 1,
661.691.9 1,
661.691.10 1,
661.691.11 1,
661.691.12 1,
661.691.13 1,
661.691.14 1,
661.691.15 1,
661.691.16 1,
661.691.17 1,
661.691.18 1,
661.691.19 1,
661.691.20 1,
661.691.21 1,
661.691.22 1,
661.691.23 1,
661.691.24 1,
661.691.25 1,
661.691.26 1,
661.691.27 1,
661.691.28 1,
661.691.29 1,
661.691.30 1,
661.693.1 1,
661.693.2 1,
661.693.3 1,
661.693.4 1,
661.693.5 1,
661.693.6 1,
661.693.7 1,
661.693.8 1,
661.693.9 1,
661.693.10 1,
661.693.11 1,
661.693.12 1,
661.693.13 1,
661.693.14 1,
661.693.15 1,
661.693.16 1,
661.693.17 1,
661.693.18 1,
661.693.19 1,
661.693.20 1,
661.693.21 1,
661.693.22 1,
661.693.23 1,
661.693.24 1,
661.693.25 1,
661.693.26 1,
661.693.27 1,
661.693.28 1,
661.693.29 1,
661.693.30 1,
662.625.1 1,
662.625.2 1,
662.625.3 1,
662.625.4 1,
662.625.5 1,
662.625.6 1,
662.625.7 1,
662.625.8 1,
662.625.9 1,
662.625.10 1,
662.625.11 1,
662.625.12 1,
662.625.13 1,
662.625.14 1,
662.625.15 1,
662.625.16 1,
662.625.17 1,
662.625.18 1,
662.625.19 1,
662.625.20 1,
662.625.21 1,
662.625.22 1,
662.625.23 1,
662.625.24 1,
662.625.25 1,
662.625.26 1,
662.625.27 1,
662.625.28 1,
662.625.29 1,
662.625.30 1,
662.692.1 1,
662.692.2 1,
662.692.3 1,
662.692.4 1,
662.692.5 1,
662.692.6 1,
662.692.7 1,
662.692.8 1,
662.692.9 1,
662.692.10 1,
662.692.11 1,
662.692.12 1,
662.692.13 1,
662.692.14 1,
662.692.15 1,
662.692.16 1,
662.692.17 1,
662.692.18 1,
662.692.19 1,
662.692.20 1,
662.692.21 1,
662.692.22 1,
662.692.23 1,
662.692.24 1,
662.692.25 1,
662.692.26 1,
662.692.27 1,
662.692.28 1,
662.692.29 1,
662.692.30 1,
663.649.1 1,
663.649.2 1,
663.649.3 1,
663.649.4 1,
663.649.5 1,
663.649.6 1,
663.649.7 1,
663.649.8 1,
663.649.9 1,
663.649.10 1,
663.649.11 1,
663.649.12 1,
663.649.13 1,
663.649.14 1,
663.649.15 1,
663.649.16 1,
663.649.17 1,
663.649.18 1,
663.649.19 1,
663.649.20 1,
663.649.21 1,
663.649.22 1,
663.649.23 1,
663.649.24 1,
663.649.25 1,
663.649.26 1,
663.649.27 1,
663.649.28 1,
663.649.29 1,
663.649.30 1,
663.684.1 1,
663.684.2 1,
663.684.3 1,
663.684.4 1,
663.684.5 1,
663.684.6 1,
663.684.7 1,
663.684.8 1,
663.684.9 1,
663.684.10 1,
663.684.11 1,
663.684.12 1,
663.684.13 1,
663.684.14 1,
663.684.15 1,
663.684.16 1,
663.684.17 1,
663.684.18 1,
663.684.19 1,
663.684.20 1,
663.684.21 1,
663.684.22 1,
663.684.23 1,
663.684.24 1,
663.684.25 1,
663.684.26 1,
663.684.27 1,
663.684.28 1,
663.684.29 1,
663.684.30 1,
664.617.1 1,
664.617.2 1,
664.617.3 1,
664.617.4 1,
664.617.5 1,
664.617.6 1,
664.617.7 1,
664.617.8 1,
664.617.9 1,
664.617.10 1,
664.617.11 1,
664.617.12 1,
664.617.13 1,
664.617.14 1,
664.617.15 1,
664.617.16 1,
664.617.17 1,
664.617.18 1,
664.617.19 1,
664.617.20 1,
664.617.21 1,
664.617.22 1,
664.617.23 1,
664.617.24 1,
664.617.25 1,
664.617.26 1,
664.617.27 1,
664.617.28 1,
664.617.29 1,
664.617.30 1,
664.650.1 1,
664.650.2 1,
664.650.3 1,
664.650.4 1,
664.650.5 1,
664.650.6 1,
664.650.7 1,
664.650.8 1,
664.650.9 1,
664.650.10 1,
664.650.11 1,
664.650.12 1,
664.650.13 1,
664.650.14 1,
664.650.15 1,
664.650.16 1,
664.650.17 1,
664.650.18 1,
664.650.19 1,
664.650.20 1,
664.650.21 1,
664.650.22 1,
664.650.23 1,
664.650.24 1,
664.650.25 1,
664.650.26 1,
664.650.27 1,
664.650.28 1,
664.650.29 1,
664.650.30 1,
665.633.1 1,
665.633.2 1,
665.633.3 1,
665.633.4 1,
665.633.5 1,
665.633.6 1,
665.633.7 1,
665.633.8 1,
665.633.9 1,
665.633.10 1,
665.633.11 1,
665.633.12 1,
665.633.13 1,
665.633.14 1,
665.633.15 1,
665.633.16 1,
665.633.17 1,
665.633.18 1,
665.633.19 1,
665.633.20 1,
665.633.21 1,
665.633.22 1,
665.633.23 1,
665.633.24 1,
665.633.25 1,
665.633.26 1,
665.633.27 1,
665.633.28 1,
665.633.29 1,
665.633.30 1,
665.641.1 1,
665.641.2 1,
665.641.3 1,
665.641.4 1,
665.641.5 1,
665.641.6 1,
665.641.7 1,
665.641.8 1,
665.641.9 1,
665.641.10 1,
665.641.11 1,
665.641.12 1,
665.641.13 1,
665.641.14 1,
665.641.15 1,
665.641.16 1,
665.641.17 1,
665.641.18 1,
665.641.19 1,
665.641.20 1,
665.641.21 1,
665.641.22 1,
665.641.23 1,
665.641.24 1,
665.641.25 1,
665.641.26 1,
665.641.27 1,
665.641.28 1,
665.641.29 1,
665.641.30 1,
665.667.1 1,
665.667.2 1,
665.667.3 1,
665.667.4 1,
665.667.5 1,
665.667.6 1,
665.667.7 1,
665.667.8 1,
665.667.9 1,
665.667.10 1,
665.667.11 1,
665.667.12 1,
665.667.13 1,
665.667.14 1,
665.667.15 1,
665.667.16 1,
665.667.17 1,
665.667.18 1,
665.667.19 1,
665.667.20 1,
665.667.21 1,
665.667.22 1,
665.667.23 1,
665.667.24 1,
665.667.25 1,
665.667.26 1,
665.667.27 1,
665.667.28 1,
665.667.29 1,
665.667.30 1,
303.659.1 1,
303.659.2 1,
303.659.3 1,
303.659.4 1,
303.659.5 1,
303.659.6 1,
303.659.7 1,
303.659.8 1,
303.659.9 1,
303.659.10 1,
303.659.11 1,
303.659.12 1,
303.659.13 1,
303.659.14 1,
303.659.15 1,
303.659.16 1,
303.659.17 1,
303.659.18 1,
303.659.19 1,
303.659.20 1,
303.659.21 1,
303.659.22 1,
303.659.23 1,
303.659.24 1,
303.659.25 1,
303.659.26 1,
303.659.27 1,
303.659.28 1,
303.659.29 1,
303.659.30 1,
666.675.1 1,
666.675.2 1,
666.675.3 1,
666.675.4 1,
666.675.5 1,
666.675.6 1,
666.675.7 1,
666.675.8 1,
666.675.9 1,
666.675.10 1,
666.675.11 1,
666.675.12 1,
666.675.13 1,
666.675.14 1,
666.675.15 1,
666.675.16 1,
666.675.17 1,
666.675.18 1,
666.675.19 1,
666.675.20 1,
666.675.21 1,
666.675.22 1,
666.675.23 1,
666.675.24 1,
666.675.25 1,
666.675.26 1,
666.675.27 1,
666.675.28 1,
666.675.29 1,
666.675.30 1,
667.665.1 1,
667.665.2 1,
667.665.3 1,
667.665.4 1,
667.665.5 1,
667.665.6 1,
667.665.7 1,
667.665.8 1,
667.665.9 1,
667.665.10 1,
667.665.11 1,
667.665.12 1,
667.665.13 1,
667.665.14 1,
667.665.15 1,
667.665.16 1,
667.665.17 1,
667.665.18 1,
667.665.19 1,
667.665.20 1,
667.665.21 1,
667.665.22 1,
667.665.23 1,
667.665.24 1,
667.665.25 1,
667.665.26 1,
667.665.27 1,
667.665.28 1,
667.665.29 1,
667.665.30 1,
668.640.1 1,
668.640.2 1,
668.640.3 1,
668.640.4 1,
668.640.5 1,
668.640.6 1,
668.640.7 1,
668.640.8 1,
668.640.9 1,
668.640.10 1,
668.640.11 1,
668.640.12 1,
668.640.13 1,
668.640.14 1,
668.640.15 1,
668.640.16 1,
668.640.17 1,
668.640.18 1,
668.640.19 1,
668.640.20 1,
668.640.21 1,
668.640.22 1,
668.640.23 1,
668.640.24 1,
668.640.25 1,
668.640.26 1,
668.640.27 1,
668.640.28 1,
668.640.29 1,
668.640.30 1,
668.683.1 1,
668.683.2 1,
668.683.3 1,
668.683.4 1,
668.683.5 1,
668.683.6 1,
668.683.7 1,
668.683.8 1,
668.683.9 1,
668.683.10 1,
668.683.11 1,
668.683.12 1,
668.683.13 1,
668.683.14 1,
668.683.15 1,
668.683.16 1,
668.683.17 1,
668.683.18 1,
668.683.19 1,
668.683.20 1,
668.683.21 1,
668.683.22 1,
668.683.23 1,
668.683.24 1,
668.683.25 1,
668.683.26 1,
668.683.27 1,
668.683.28 1,
668.683.29 1,
668.683.30 1,
669.639.1 1,
669.639.2 1,
669.639.3 1,
669.639.4 1,
669.639.5 1,
669.639.6 1,
669.639.7 1,
669.639.8 1,
669.639.9 1,
669.639.10 1,
669.639.11 1,
669.639.12 1,
669.639.13 1,
669.639.14 1,
669.639.15 1,
669.639.16 1,
669.639.17 1,
669.639.18 1,
669.639.19 1,
669.639.20 1,
669.639.21 1,
669.639.22 1,
669.639.23 1,
669.639.24 1,
669.639.25 1,
669.639.26 1,
669.639.27 1,
669.639.28 1,
669.639.29 1,
669.639.30 1,
669.643.1 1,
669.643.2 1,
